2024,3 Jul,Number Cruncher Politics,N/A,GB,2496,0.23,0.41,0.11,0.02,0.07,0.13,0.03
2024,2–3 Jul,JL Partners,The Rest Is Politics,GB,2005,0.23,0.38,0.13,0.03,0.05,0.17,0.03
2024,2–3 Jul,Savanta,N/A,UK,2101,0.2,0.39,0.1,0.02,0.05,0.17,0.07
2024,2–3 Jul,We Think,N/A,GB,1210,0.23,0.41,0.11,0.02,0.07,0.15,0.02
2024,1–3 Jul,Survation,Good Morning Britain,GB,1679,0.2,0.38,0.12,0.03,0.07,0.17,0.03
2024,1–3 Jul,Norstat,N/A,GB,3134,0.24,0.37,0.11,0.04,0.06,0.16,0.02
2024,1–3 Jul,Opinium,N/A,GB,2219,0.21,0.41,0.11,0.02,0.07,0.17,0.01
2024,1–3 Jul,Ipsos,N/A,GB,2076,0.19,0.37,0.11,0.05,0.09,0.15,0.05
2024,29 Jun – 3 Jul,Deltapoll,N/A,GB,1737,0.22,0.39,0.1,0.02,0.07,0.17,0.03
2024,2 Jul,PeoplePolling,GB News,GB,1260,0.16,0.36,0.1,0.04,0.09,0.2,0.05
2024,1–2 Jul,Whitestone Insight,Daily Express/Daily Mirror,GB,2008,0.21,0.38,0.1,0.03,0.07,0.18,0.03
2024,30 Jun – 2 Jul,BMG,The i,GB,1854,0.22,0.39,0.11,0.03,0.07,0.16,0.03
2024,28 Jun – 2 Jul,Techne,N/A,GB,5503,0.21,0.4,0.11,0.03,0.06,0.16,0.03
2024,28 Jun – 2 Jul,Redfield & Wilton,N/A,GB,20000,0.22,0.41,0.1,0.03,0.06,0.16,0.02
2024,26 Jun – 2 Jul,Survation,Good Morning Britain,UK,1022,0.18,0.38,0.11,0.03,0.07,0.17,0.06
2024,19 Jun – 2 Jul,YouGov (MRP),N/A,GB,47751,0.22,0.39,0.12,0.03,0.07,0.15,0.03
2024,28 Jun – 1 Jul,Verian,N/A,GB,2135,0.21,0.36,0.13,0.03,0.07,0.16,0.04
2024,28 Jun – 1 Jul,JL Partners,The Rest Is Politics,GB,2028,0.24,0.39,0.1,0.04,0.05,0.16,0.02
2024,27 Jun – 1 Jul,Lord Ashcroft,N/A,GB,5183,0.19,0.38,0.11,0.03,0.08,0.18,0.03
2024,24 Jun – 1 Jul,More in Common (MRP),The News Agents,GB,13556,0.24,0.4,0.11,0.02,0.06,0.14,0.03
2024,15 Jun – 1 Jul,Survation (MRP),N/A,GB,34558,0.23,0.42,0.11,0.02,0.05,0.11,0.04
2024,10 Jun – 1 Jul,Focaldata (MRP),N/A,GB,36726,0.23,0.4,0.12,0.03,0.05,0.16,0.01
2024,28–30 Jun,Savanta,The Telegraph,UK,2287,0.24,0.39,0.1,0.03,0.04,0.13,0.07
